"brth_yr","gndr","nm","Count","Rank"
2014,"FEMALE","Zaniyah","10","41"
2014,"FEMALE","Vivian","92","58"
2014,"FEMALE","Nashla","19","64"
2014,"MALE","Nasir","33","39"
2014,"MALE","August","28","84"
2014,"MALE","Benson","23","45"
2014,"FEMALE","Atara","13","83"
2014,"MALE","Neymar","19","89"
2014,"FEMALE","Jocelyn","48","85"
2014,"MALE","Pinchus","11","101"
2014,"MALE","Abel","18","90"
2014,"FEMALE","June","13","83"
2014,"FEMALE","Lily","121","124"
2014,"FEMALE","Amina","64","133"
2014,"MALE","Josiah","141","69"
2014,"MALE","Shimon","100","34"
2014,"MALE","Kabir","10","58"
2014,"FEMALE","Andrea","46","40"
2014,"FEMALE","Sylvia","28","118"
2014,"FEMALE","Livia","24","122"
2014,"MALE","Alston","13","55"
2014,"FEMALE","Lydia","27","119"
2014,"FEMALE","Gabriela","58","124"
2014,"FEMALE","Alondra","15","68"
2014,"MALE","Grant","11","101"
2014,"FEMALE","Shoshana","19","77"
2014,"FEMALE","Skye","17","34"
2014,"FEMALE","Phoenix","10","41"
2014,"MALE","Ibrahima","13","57"
2014,"FEMALE","Lena","28","68"
2014,"FEMALE","Anabelle","10","73"
2014,"MALE","Yehuda","86","41"
2014,"FEMALE","Hailey","158","149"
2014,"FEMALE","Tatiana","12","71"
2014,"FEMALE","Harper","41","55"
2014,"FEMALE","Elisheva","12","84"
2014,"MALE","Justice","10","60"
2014,"MALE","Alberto","13","95"
2014,"FEMALE","Sara","156","112"
2014,"MALE","Uriel","11","97"
2014,"FEMALE","Ruth","21","158"
2014,"FEMALE","Layan","13","83"
2014,"FEMALE","Miracle","13","38"
2014,"MALE","Shayan","10","58"
2014,"FEMALE","Zissy","25","71"
2014,"MALE","Princeton","12","58"
2014,"MALE","Mouhamed","12","58"
2014,"MALE","Noam","23","89"
2014,"MALE","Jace","120","180"
2014,"MALE","Kevin","223","179"
2014,"MALE","Isaiah","115","139"
2014,"MALE","Leonidas","11","97"
2014,"MALE","Adan","10","98"
2014,"MALE","Kimi","24","44"
2014,"FEMALE","Daphne","16","80"
2014,"MALE","Oscar","91","197"
2014,"FEMALE","Aniya","11","40"
2014,"FEMALE","Camila","203","91"
2014,"MALE","Samuel","330","144"
2014,"FEMALE","Fanta","12","39"
2014,"FEMALE","Mikayla","32","115"
2014,"FEMALE","Miranda","27","106"
2014,"MALE","Harrison","60","121"
2014,"FEMALE","Amelia","188","110"
2014,"FEMALE","Sydney","44","103"
2014,"MALE","Zaiden","14","56"
2014,"FEMALE","Rivka","100","20"
2014,"FEMALE","Cecilia","44","185"
2014,"MALE","Chance","28","44"
2014,"FEMALE","Skyla","44","90"
2014,"MALE","Solomon","51","63"
2014,"MALE","Peter","71","151"
2014,"MALE","Khalil","13","57"
2014,"MALE","Binyamin","11","101"
2014,"MALE","Rehan","13","55"
2014,"FEMALE","Jessie","29","104"
2014,"FEMALE","Adelyn","10","73"
2014,"FEMALE","Devora","23","73"
2014,"FEMALE","Kelsey","14","37"
2014,"FEMALE","Brittany","34","49"
2014,"MALE","Jonathan","277","129"
2014,"MALE","Yidel","10","102"
2014,"FEMALE","Raizel","15","81"
2014,"FEMALE","Lola","34","145"
2014,"MALE","Giuseppe","10","102"
2014,"MALE","Jared","25","83"
2014,"FEMALE","Roizy","13","83"
2014,"FEMALE","Aarya","10","40"
2014,"MALE","Ivan","102","189"
2014,"FEMALE","Carolina","23","156"
2014,"MALE","King","92","100"
2014,"FEMALE","Yehudis","25","71"
2014,"FEMALE","Helena","17","79"
2014,"FEMALE","Litzy","10","73"
2014,"FEMALE","Liba","23","73"
2014,"MALE","Michael","566","55"
2014,"MALE","Maxim","26","86"
2014,"MALE","Shlome","19","93"
2014,"FEMALE","Perel","19","77"
2014,"FEMALE","Saniyah","10","41"
2014,"FEMALE","Baila","39","57"
2014,"FEMALE","Mirel","15","81"
2014,"FEMALE","Ivanna","11","72"
2014,"MALE","Denis","10","102"
2014,"MALE","Sincere","19","51"
2014,"FEMALE","Ella","182","131"
2014,"FEMALE","Charlotte","206","123"
