,Name,Gender,National_Count,National_Rank,City_Count,City_Rank,State_Count,State_Rank
121,Quinn,F,2550,291.0,26,70,138,290.0
122,Jordyn,F,2548,292.0,32,115,111,355.0
123,Nicole,F,2533,295.0,117,116,198,198.0
124,Delilah,F,2511,299.0,51,131,101,383.0
125,Ariel,F,2438,307.0,91,194,128,310.0
126,Paige,F,2409,311.0,64,166,169,241.5
127,Mariah,F,2402,313.5,32,102,90,437.5
128,Mya,F,2402,313.5,53,81,156,262.0
129,Brooke,F,2389,316.0,54,176,184,215.0
130,Jade,F,2388,317.0,63,74,131,301.5
131,Lyla,F,2380,320.0,19,77,111,355.0
132,Ximena,F,2339,323.0,26,57,37,945.0
133,Luna,F,2337,324.0,68,164,126,315.5
134,Isabel,F,2327,326.0,85,147,153,267.5
135,Ivy,F,2287,331.0,50,96,99,390.0
136,Josephine,F,2283,332.0,39,57,119,334.5
137,Amy,F,2192,336.0,104,47,180,223.0
138,Laila,F,2144,340.0,74,156,138,290.0
139,Isla,F,2133,342.0,31,65,97,399.0
140,Eden,F,2132,343.0,14,82,59,640.0
141,Angelina,F,2123,344.0,132,148,243,160.5
142,Londyn,F,2092,348.5,36,98,76,517.0
143,Rachel,F,2085,350.0,264,100,381,89.0
144,Destiny,F,2068,352.0,53,81,94,417.5
145,Melody,F,2060,353.0,50,83,121,326.5
146,Juliana,F,2059,354.5,57,122,186,211.0
147,Kaitlyn,F,2057,356.0,79,201,157,259.0
148,Emilia,F,2000,365.0,75,107,183,217.0
149,Reese,F,1971,366.0,22,74,87,451.5
150,Aliyah,F,1967,368.0,42,92,109,361.5
151,Sara,F,1967,368.0,156,112,251,152.5
152,Margaret,F,1950,370.0,33,63,103,376.0
153,Catherine,F,1941,371.0,67,162,139,286.5
154,Vanessa,F,1925,374.0,41,92,97,399.0
155,Gabrielle,F,1921,375.0,52,96,133,297.5
156,Katelyn,F,1917,377.0,29,104,83,476.5
157,Arabella,F,1904,378.0,16,67,89,442.0
158,Valeria,F,1890,379.0,34,49,68,569.5
159,Valerie,F,1882,380.0,57,35,117,342.0
160,Adriana,F,1874,383.0,65,117,184,215.0
161,Everly,F,1869,384.0,14,82,59,640.0
162,Jessica,F,1797,393.0,70,159,135,293.5
163,Daisy,F,1785,395.0,19,64,60,633.0
164,Rebecca,F,1778,396.0,66,163,145,276.0
165,Lila,F,1773,398.5,53,93,133,297.5
166,Summer,F,1773,398.5,35,162,84,470.0
167,Julianna,F,1770,400.0,36,143,169,241.5
168,Michelle,F,1749,405.5,106,177,154,265.5
169,Angela,F,1734,411.0,94,71,153,267.5
170,Harmony,F,1721,412.0,17,34,68,569.5
171,Alina,F,1713,413.0,90,140,145,276.0
172,Rose,F,1693,417.5,87,95,158,256.5
173,Athena,F,1688,420.0,45,184,98,394.0
174,Emerson,F,1682,421.0,17,79,59,640.0
175,Adelyn,F,1673,422.0,10,73,67,581.0
176,Alana,F,1672,423.0,33,101,103,376.0
177,Izabella,F,1668,424.0,10,73,75,522.0
178,Cali,F,1660,427.5,17,34,84,470.0
179,Esther,F,1660,427.5,265,103,385,83.0
180,Fiona,F,1646,430.0,73,73,157,259.0
181,Stephanie,F,1641,431.0,60,76,134,295.5
182,Cecilia,F,1638,432.0,44,185,110,358.0
183,Jayla,F,1621,437.0,47,87,90,437.5
184,Kate,F,1620,438.0,37,192,89,442.0
185,Genevieve,F,1608,441.0,23,73,85,463.0
186,Alexandria,F,1604,442.0,10,41,76,517.0
187,Eliza,F,1602,443.0,32,147,85,463.0
188,Kylee,F,1589,447.0,10,41,51,728.0
189,Giselle,F,1576,449.5,44,135,84,470.0
190,Arya,F,1554,454.0,41,92,115,345.5
191,Leilani,F,1538,459.0,31,103,70,556.5
192,Adeline,F,1530,462.5,12,84,63,612.5
193,Ana,F,1530,462.5,44,135,79,495.0
194,Jennifer,F,1521,466.0,51,82,122,323.5
195,Tessa,F,1520,468.0,13,83,92,428.0
196,Melissa,F,1506,473.0,29,54,68,569.5
197,Aniyah,F,1494,476.0,17,34,66,590.0
198,Daniela,F,1493,477.0,50,38,112,352.5
199,Keira,F,1468,482.0,13,83,80,489.0
200,Daleyza,F,1466,483.0,14,69,20,1555.0
201,Hope,F,1440,487.0,11,40,59,640.0
202,Charlie,F,1438,488.0,20,76,59,640.0
203,Lucia,F,1433,489.0,48,131,99,390.0
204,Gabriela,F,1411,494.0,58,124,121,326.5
205,Parker,F,1399,498.0,17,79,48,759.5
206,Lola,F,1388,500.0,34,145,77,510.0
207,Amaya,F,1362,507.0,60,74,115,345.5
208,Maggie,F,1354,509.5,14,36,58,653.5
209,Miranda,F,1351,511.0,27,106,59,640.0
210,Anastasia,F,1342,512.5,26,70,97,399.0
211,Georgia,F,1333,514.0,26,70,54,688.5
212,Leila,F,1330,515.5,33,146,97,399.0
213,Iris,F,1325,518.5,35,111,68,569.5
214,Jordan,F,1312,522.0,13,38,67,581.0
215,Cassidy,F,1308,523.5,10,86,71,547.5
216,Jacqueline,F,1308,523.5,34,145,85,463.0
217,Vivienne,F,1297,525.0,36,60,94,417.5
218,Noelle,F,1292,527.5,13,83,86,456.5
219,Camille,F,1288,529.0,11,85,53,700.5
